source,title,company,experience,salary,location,skills,posted,job_link,search_query,scraped_at,title_clean,job_category,exp_min_years,is_fresher_friendly,salary_clean,skills_list,skills_clean,skills_list_str
Naukri,Data Analyst,Barclays,2-7 Yrs,Not Disclosed,Pune,"Data analysis, Automation, SAS, Data management, Senior Analyst, Analytical, Reconciliation, Operations",1 day ago,https://www.naukri.com/job-listings-data-analyst-barclays-shared-services-pune-2-to-7-years-280426502635,Data Analyst,2026-04-29 17:11:20,data analyst,Data Analyst,2.0,False,,"['data analysis', 'automation', 'sas', 'data management', 'senior analyst', 'analytical', 'reconciliation', 'operations']","data analysis, automation, sas, data management, senior analyst, analytical, reconciliation, operations","data analysis, automation, sas, data management, senior analyst, analytical, reconciliation, operations"
Naukri,Associate - Business Analyst-Back-End/ Data Entry,EXL,0-3 Yrs,Not Disclosed,Pune,"Backend, Associate Business Analyst, Customer satisfaction, Process improvement, Subject Matter Expert, Insurance underwriting, Transaction processing, Operations",3+ weeks ago,https://www.naukri.com/job-listings-associate-business-analyst-back-end-data-entry-exl-services-com-i-pvt-ltd-pune-0-to-3-years-230326500526,Data Analyst,2026-04-29 17:11:20,associate - business analyst-back-end/ data entry,Other,0.0,True,,"['backend', 'associate business analyst', 'customer satisfaction', 'process improvement', 'subject matter expert', 'insurance underwriting', 'transaction processing', 'operations']","backend, associate business analyst, customer satisfaction, process improvement, subject matter expert, insurance underwriting, transaction processing, operations","backend, associate business analyst, customer satisfaction, process improvement, subject matter expert, insurance underwriting, transaction processing, operations"
Naukri,"Data and/or Records Analyst, AS",Deutsche Bank,2-7 Yrs,Not Disclosed,Pune,"Content management, Excel, HP data protector, Project management, Relationship building, Records management, HTML, data privacy",3+ weeks ago,https://www.naukri.com/job-listings-data-and-or-records-analyst-as-deutsche-bank-pune-2-to-7-years-030326501249,Data Analyst,2026-04-29 17:11:20,"data and/or records analyst, as",Other,2.0,False,,"['content management', 'excel', 'hp data protector', 'project management', 'relationship building', 'records management', 'html', 'data privacy']","content management, excel, hp data protector, project management, relationship building, records management, html, data privacy","content management, excel, hp data protector, project management, relationship building, records management, html, data privacy"
Naukri,Data Analyst,Capgemini,4-9 Yrs,Not Disclosed,"Hybrid - Pune, Chennai, Bengaluru","Banking And Insurance, Data Migration, Data Visualization, Data Analytics, SQL, Predictive Modeling, risk, Statistical Data Analysis",1 week ago,https://www.naukri.com/job-listings-data-analyst-capgemini-pune-chennai-bengaluru-4-to-9-years-170426017733,Data Analyst,2026-04-29 17:11:21,data analyst,Data Analyst,4.0,False,,"['banking and insurance', 'data migration', 'data visualization', 'data analytics', 'sql', 'predictive modeling', 'risk', 'statistical data analysis']","banking and insurance, data migration, data visualization, data analytics, sql, predictive modeling, risk, statistical data analysis","banking and insurance, data migration, data visualization, data analytics, sql, predictive modeling, risk, statistical data analysis"
Naukri,Data Analyst,Castrol,3-8 Yrs,Not Disclosed,Pune,"Data analysis, Data management, Project management, Analytical, Instrumentation, Data Analyst, Automotive, Monitoring",1 week ago,https://www.naukri.com/job-listings-data-analyst-castrol-india-limited-pune-3-to-8-years-200426500225,Data Analyst,2026-04-29 17:11:21,data analyst,Data Analyst,3.0,False,,"['data analysis', 'data management', 'project management', 'analytical', 'instrumentation', 'data analyst', 'automotive', 'monitoring']","data analysis, data management, project management, analytical, instrumentation, data analyst, automotive, monitoring","data analysis, data management, project management, analytical, instrumentation, data analyst, automotive, monitoring"
Naukri,Data Analyst,Propharma Group,2-4 Yrs,Not Disclosed,"Pune, Kolkata, Mumbai, New Delhi, Hyderabad, Chennai, Bengaluru","Manager Quality Assurance, Business analytics, Consulting, Clinical research, Customer service, Pharmacovigilance, Troubleshooting, microsoft",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-isafety-systems-private-limited-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-4-years-240326507968,Data Analyst,2026-04-29 17:11:21,data analyst,Data Analyst,2.0,False,,"['manager quality assurance', 'business analytics', 'consulting', 'clinical research', 'customer service', 'pharmacovigilance', 'troubleshooting', 'microsoft']","manager quality assurance, business analytics, consulting, clinical research, customer service, pharmacovigilance, troubleshooting, microsoft","manager quality assurance, business analytics, consulting, clinical research, customer service, pharmacovigilance, troubleshooting, microsoft"
Naukri,Senior Data Analyst,EXL,2-6 Yrs,Not Disclosed,Pune,"python, data analysis, data management, data analytics, business requirements, data validation, data mining, bi",3+ weeks ago,https://www.naukri.com/job-listings-senior-data-analyst-exl-services-com-i-pvt-ltd-pune-2-to-6-years-251025502221,Data Analyst,2026-04-29 17:11:21,senior data analyst,Data Analyst,2.0,False,,"['python', 'data analysis', 'data management', 'data analytics', 'business requirements', 'data validation', 'data mining', 'bi']","python, data analysis, data management, data analytics, business requirements, data validation, data mining, bi","python, data analysis, data management, data analytics, business requirements, data validation, data mining, bi"
Naukri,Data Analyst,Ltimindtree,5-10 Yrs,Not Disclosed,Hybrid - Pune,"Snowflake, Python, SQL, Camunda 8.0, Data, Camunda Bpm, Data analysis",6 days ago,https://www.naukri.com/job-listings-data-analyst-ltimindtree-pune-5-to-10-years-220426036121,Data Analyst,2026-04-29 17:11:21,data analyst,Data Analyst,5.0,False,,"['snowflake', 'python', 'sql', 'camunda 8.0', 'data', 'camunda bpm', 'data analysis']","snowflake, python, sql, camunda 8.0, data, camunda bpm, data analysis","snowflake, python, sql, camunda 8.0, data, camunda bpm, data analysis"
Naukri,Power BI Data Analyst,Crisil,3-5 Yrs,Not Disclosed,"Pune, Mumbai, Gurugram","analytical, finance reporting, bi, microsoft, dashboards, business intelligence, sql, coding",1 week ago,https://www.naukri.com/job-listings-power-bi-data-analyst-crisil-limited-mumbai-pune-gurugram-3-to-5-years-160426029680,Data Analyst,2026-04-29 17:11:22,power bi data analyst,Data Analyst,3.0,False,,"['analytical', 'finance reporting', 'bi', 'microsoft', 'dashboards', 'business intelligence', 'sql', 'coding']","analytical, finance reporting, bi, microsoft, dashboards, business intelligence, sql, coding","analytical, finance reporting, bi, microsoft, dashboards, business intelligence, sql, coding"
Naukri,Data Analyst,Persistent,8-12 Yrs,Not Disclosed,"Pune, Chennai, Bengaluru","Integration, Snowflake, Data Modeling, Data, Modeling, Data analysis",3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-persistent-pune-chennai-bengaluru-8-to-12-years-300326015451,Data Analyst,2026-04-29 17:11:22,data analyst,Data Analyst,8.0,False,,"['integration', 'snowflake', 'data modeling', 'data', 'modeling', 'data analysis']","integration, snowflake, data modeling, data, modeling, data analysis","integration, snowflake, data modeling, data, modeling, data analysis"
Naukri,Sr. Data Analyst (Analytics / Modelling Role),Xoriant,6-11 Yrs,6-16 Lacs PA,Hybrid - Pune,"Kimball, Analytics, Medallion, Data Build Tool, Data Analytics, Bronze, Gold layer, schema evolution",2 weeks ago,https://www.naukri.com/job-listings-sr-data-analyst-analytics-modelling-role-xoriant-pune-6-to-11-years-140426026169,Data Analyst,2026-04-29 17:11:22,sr. data analyst (analytics / modelling role),Data Analyst,6.0,False,6-16 Lacs PA,"['kimball', 'analytics', 'medallion', 'data build tool', 'data analytics', 'bronze', 'gold layer', 'schema evolution']","kimball, analytics, medallion, data build tool, data analytics, bronze, gold layer, schema evolution","kimball, analytics, medallion, data build tool, data analytics, bronze, gold layer, schema evolution"
Naukri,GSS Data Analyst,Schlumberger India Technology Centre Pvt. Ltd,5-10 Yrs,Not Disclosed,Pune,"Service delivery, PSD, Safety training, Data Analyst, HSE, Sensors, Risk analysis, Monitoring",3+ weeks ago,https://www.naukri.com/job-listings-gss-data-analyst-schlumberger-india-technology-centre-pvt-ltd-pune-5-to-10-years-250226501120,Data Analyst,2026-04-29 17:11:22,gss data analyst,Data Analyst,5.0,False,,"['service delivery', 'psd', 'safety training', 'data analyst', 'hse', 'sensors', 'risk analysis', 'monitoring']","service delivery, psd, safety training, data analyst, hse, sensors, risk analysis, monitoring","service delivery, psd, safety training, data analyst, hse, sensors, risk analysis, monitoring"
